SBCCI,"Southern Building Code Congress International, Inc."
SBIR,Small Business Innovative Research Program
SBU,Small Business Utilization
SBUC,Small Business Utilization Center
SC,Sales Center
SCA,Service Contract Act
SCAT,Strategic Campus Action Team
SCC,Security Control Center
SCE,Senior Career Executive
SCO,State Coordinating Officer
SCORE,Service Core of Retired Executives
SCR,Silicon-controlled Rectifier
SCR,Service Catalog Request
SDD,Stock Direct Delivery
SDM,Spatial Data Management
SDP,Service Delivery Point
SDV,Service Disabled Veteran
SDVOSB,Service Disabled Veteran-Owned Small Business
SEA,Service Educational Activities
SEC,Securities Exchange Commission
SES,Senior Executive Service
SF,Standard Form
SFA,Sales Force Automation
SFO,Solicitation for Offers
SHARES,Shared Resources
SHPO,State Historic Preservation Officer
SIC,Standard Industrial Classification
SIN,Special Item Number
SIOC,Strategic Information and Operations Center
SIP,Schedule Input Program
SITREP,Situation Report
SITSIM,Situation Summary
SLP,Site Location Policies
SMACNA,Sheet Metal and Air Conditioning Contractors' National Association
SME,Subject Matter Expert
SNAP,Significant New Alternatives Policy
SO,Service Order
SOO,Statement of Objectives
SOP,Standard Operating Procedures
SOW,Statement of Work
SPA,Special Priorities Assistance
SPLC,Standard Point Location Code
SPORTS,"Sports, Promotional, Outdoor, Recreational, Trophies, and Signs"
SRO,Standing Route Order
SRO,Senior Records Officer
SSA,Source Selection Authority
SSL,Secure Sockets Layer
SSQ,Schedules Sales Query
SSR,Summary Subcontracting Report
STAR,Strategic Targeted Account Review
STARS,Streamlined Technology Acquisition Resources for Services
STC,Sound Transmission Class
STE,Secure Telephone Equipment
STU-III,Secure Telephone Equipment-Third Generation
SVC,Switched Virtual Circuit
SVS,Switched Voice Service
SWOT,"Strengths, Weaknesses, Opportunities, Threats"
T,
T&A,Time and Attendance
T&C,Terms and Conditions
T&E,Travel and Expense
T&T,Travel and Transportation
T-NUMBERS,T for Transportation Schedule Numbers
T3,Train-the-Trainer
TA,Travel Authorization
TAA,Trade Agreement Act
TABB,"Testing, Adjusting, and Balancing Bureau"
TAC,Transportation Account Code
TAPS,Temporary Administrative and Professional Staffing Services - Schedule 736
TAS,Treasury Account Symbol
TBC,Total Building Commissioning
TCS,Temporary Change of Station
TD,Transportation Document
TDD/TTY,Telecommunications Device for the Deaf/Teletypewriter
TDR,Transportation Discrepancy Report
TDRS,"Transportation, Delivery, and Relocation Solutions - Schedule 48"
TDY,Temporary Duty
TEMS,Telecommunication Expert Management Services
TEST,This is a test
TFRS,Telework Facility Reimbursement Sheet
TIN,Tax Identification Number
TM,Technical Manual
TMC,Travel Management Center
TMP,Transition Management Plan
TMS,Travel Management System/Travel Management Service
TMSS,Transportation Management Services Solution
TO,Task Order
TOBY,The Office Building of the Year
TOPS,Telecommunications Ordering and Pricing System
TOR,Task Order Request
TOS,Tender of Service
TPFDD,Time-Phased Force Deployment Data
TPFDL,Time-Phase Force Deployment List
TPN,Trading Partner Network
TPS,Two-Way Paging Service
TQSE,Temporary Quarters Subsistence Expenses
TS,Telecommunications Services
TSO,Transportation Service Order
TSP,Transportation Service Provider
TSS,Travel Services Solutions
TTOS,Touchtone Telephone Ordering System
TTY,Text Telephone
TV,Television
U,
U&D,Utilization and Donation Programs
U-MAS,University of Multiple Awards Schedules Virtual Campus
U.S.,United States
U.S.C.,United States Code
U/D/S,"Utilization, Donation, and Sales Programs"
UAT,User Acceptance Testing
UC,Unified Command
UFAS,Uniform Federal Accessibility Standards
UFC,Uniform Freight Classification
UI,Unit of Issue
UL,Underwriters Laboratory
UNICOR,Federal Prison Industries
UPS,Uninterruptible Power System
URL,Uniform Resource Locator
US&R,Urban Search and Rescue
USACE,United States Army Corps of Engineers
USAF,United States Air Force
USC,United States Code
USCDG,US Courts Design Guide
USCG,United States Coast Guard
USDA,United States Department of Agriculture
USFS,United States Forest Service
USGS,United States Geological Survey
USMS,United States Marshall Service
USPHS,United States Public Health Services
USPS,United States Postal Service
UST,Underground Storage Tank
V,
VA,Department of Veterans Affairs
VAV,Variable Air Volume
VCO,Voice Carry Over
VE,Value Engineering
VIP,Very Important People
VITA,Volunteers in Technical Assistance
VITM,DOD Virtual IT Marketplace/ESI BPA Item
VL,Value Lodging
VMAS,Vehicular Multiple Award Schedule
VOC,Volatile Organic Compound
VOLAG,Voluntary Agency
VSC,Vendor Support Center
W,
WAMA,Washington Area Music Association
WAN,Wide Area Network
WAWF,Wide Area Workflow
WCW,Worldclass Workforce
WD,Wage Determination
WDC,Wholesale Distribution Center
WDOL,Wages - Department of Labor
WDPDS,Wireless Digital Packet Data Service
WIFCON,Where in Federal Contracting
WITS,Washington Interagency Telecommunications System
WL,Wetlands
WM,Waste Management
WMD,Weapon of Mass Destruction
WOB,Woman-owned Business
WPA,Works Progress Administration
WPS,Wireless Priority Services
WTA,Withholding tax allowance
X,
XLP,Cross Linked Polyethylene
Y,
YCA,"Y-Class of Service/Coach, C-Contract, A-Award"
